Sr. No.,Title,Description,status,post_type,
34,Alan Barnes,Accessory37,Publish,team-member,
35,Jack Garza,Fuji 5.2GB DVD-RAM,Publish,team-member,
36,Julia West,Bevis Steel Folding Chairs,Publish,team-member,
37,Eugene Barchas,Avery Binder Labels,Publish,team-member,
38,Eugene Barchas,Hon Every-Day® Chair Series Swivel Task Chairs,Publish,team-member,
39,Eugene Barchas,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Publish,team-member,
40,Edward Hooks,Global Troy™ Executive Leather Low-Back Tilter,Publish,team-member,
41,Brad Eason,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Publish,team-member,
42,Nicole Hansen,Computer Printout Paper with Letter-Trim Perforations,Publish,team-member,
43,Dorothy Wardle,6160,Publish,team-member,
44,Aaron Bergman,Avery 49,Publish,team-member,
45,Jim Radford,Hoover Portapower™ Portable Vacuum,Publish,team-member,
46,Annie Cyprus,Timeport L7089,Publish,team-member,
47,Annie Cyprus,Avery 510,Publish,team-member,
48,Annie Cyprus,Xerox 1881,Publish,team-member,
49,Annie Cyprus,LX 788,Publish,team-member,
50,Annie Cyprus,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Publish,team-member,
51,Clay Rozendal,"Memorex 4.7GB DVD-RAM, 3/Pack",Publish,team-member,
52,Don Jones,Unpadded Memo Slips,Publish,team-member,
53,Beth Thompson,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Publish,team-member,
54,Frank Price,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Publish,team-member,
55,Michelle Lonsdale,Bell Sonecor JB700 Caller ID,Publish,team-member,
56,Ann Chong,Avery Arch Ring Binders,Publish,team-member,
57,Ann Chong,APC 7 Outlet Network SurgeArrest Surge Protector,Publish,team-member,
58,Joy Bell,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Publish,team-member,
59,Joy Bell,Accessory4,Publish,team-member,
60,Skye Norling,Personal Creations™ Ink Jet Cards and Labels,Publish,team-member,
61,Barry Weirich,High Speed Automatic Electric Letter Opener,Publish,team-member,
62,Grant Carroll,Xerox 1966,Publish,team-member,
63,Grant Carroll,Xerox 213,Publish,team-member,
64,Adrian Hane,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Publish,team-member,
65,Skye Norling,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Publish,team-member,
66,Skye Norling,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Publish,team-member,
67,Andrew Gjertsen,Crate-A-Files™,Publish,team-member,
68,Ralph Knight,"Angle-D Binders with Locking Rings, Label Holders",Publish,team-member,
69,Dorothy Wardle,"80 Minute CD-R Spindle, 100/Pack - Staples",Publish,team-member,
70,Dorothy Wardle,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Publish,team-member,
71,Dorothy Wardle,12-1/2 Diameter Round Wall Clock,Publish,team-member,
72,Grant Carroll,SAFCO Arco Folding Chair,Publish,team-member,
73,Barry Weirich,"#10 White Business Envelopes,4 1/8 x 9 1/2",Publish,team-member,
74,Beth Paige,3M Office Air Cleaner,Publish,team-member,
75,Sylvia Foulston,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
76,Nicole Hansen,Xerox 1936,Publish,team-member,
77,Nicole Hansen,Xerox 214,Publish,team-member,
78,Nicole Hansen,Carina Double Wide Media Storage Towers in Natural & Black,Publish,team-member,
79,Beth Paige,Staples® General Use 3-Ring Binders,Publish,team-member,
80,Beth Paige,Xerox 1904,Publish,team-member,
81,Beth Paige,Luxo Professional Combination Clamp-On Lamps,Publish,team-member,
82,Beth Paige,Xerox 217,Publish,team-member,
83,Beth Paige,Revere Boxed Rubber Bands by Revere,Publish,team-member,
84,Sylvia Foulston,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Publish,team-member,
85,Bryan Davis,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Publish,team-member,
86,Joy Bell,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Publish,team-member,
87,Joy Bell,Xerox 1887,Publish,team-member,
88,Joy Bell,Xerox 1891,Publish,team-member,
89,Alan Barnes,Avery 506,Publish,team-member,
90,Grant Carroll,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Publish,team-member,
91,Grant Carroll,"Lifetime Advantage™ Folding Chairs, 4/Carton",Publish,team-member,
92,Grant Carroll,Microsoft Natural Multimedia Keyboard,Publish,team-member,
93,Delfina Latchford,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Publish,team-member,
94,Don Jones,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Publish,team-member,
95,Doug Bickford,Bevis Boat-Shaped Conference Table,Publish,team-member,
96,Doug Bickford,"Linden® 12"" Wall Clock With Oak Frame",Publish,team-member,
97,Doug Bickford,Newell 326,Publish,team-member,
98,Jamie Kunitz,Prismacolor Color Pencil Set,Publish,team-member,
99,Anthony Johnson,Xerox Blank Computer Paper,Publish,team-member,
100,Ralph Knight,600 Series Flip,Publish,team-member,
101,Allen Rosenblatt,Fellowes Recycled Storage Drawers,Publish,team-member,
102,Barry Weirich,Satellite Sectional Post Binders,Publish,team-member,
103,Doug Bickford,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Publish,team-member,
104,Carl Jackson,Avery 487,Publish,team-member,
105,Brendan Dodson,Bevis Round Conference Table Top & Single Column Base,Publish,team-member,
106,Edward Hooks,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Publish,team-member,
107,Jamie Kunitz,Hanging Personal Folder File,Publish,team-member,
108,Jamie Kunitz,"Bevis Round Conference Table Top, X-Base",Publish,team-member,
109,Michelle Lonsdale,5125,Publish,team-member,
110,Michelle Lonsdale,Electrix Halogen Magnifier Lamp,Publish,team-member,
111,Brendan Dodson,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Publish,team-member,
112,Hunter Glantz,Fellowes Black Plastic Comb Bindings,Publish,team-member,
113,Sylvia Foulston,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Publish,team-member,
114,Eugene Barchas,Hon GuestStacker Chair,Publish,team-member,
115,Jim Radford,Eldon® Wave Desk Accessories,Publish,team-member,
116,Carlos Soltero,Sharp AL-1530CS Digital Copier,Publish,team-member,
117,Carlos Soltero,"Tennsco Lockers, Gray",Publish,team-member,
118,Carlos Soltero,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Publish,team-member,
119,Carlos Soltero,Newell 323,Publish,team-member,
120,Jim Radford,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Publish,team-member,
121,Jim Radford,Spiral Phone Message Books with Labels by Adams,Publish,team-member,
122,Grant Carroll,Crate-A-Files™,Publish,team-member,
123,Grant Carroll,Bell Sonecor JB700 Caller ID,Publish,team-member,
124,Skye Norling,Holmes 99% HEPA Air Purifier,Publish,team-member,
125,Doug Bickford,Xerox 224,Publish,team-member,
126,Grant Carroll,Xerox 1906,Publish,team-member,
127,Muhammed MacIntyre,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Publish,team-member,
128,Muhammed MacIntyre,Xerox 188,Publish,team-member,
129,Muhammed MacIntyre,Xerox 1932,Publish,team-member,
130,Doug Bickford,GBC Linen Binding Covers,Publish,team-member,
131,Doug Bickford,GBC Recycled Grain Textured Covers,Publish,team-member,
132,Beth Thompson,"Sauder Facets Collection Library, Sky Alder Finish",Publish,team-member,
133,Ralph Knight,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
134,Carl Jackson,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Publish,team-member,
135,Carl Jackson,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Publish,team-member,
136,Dorothy Badders,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Publish,team-member,
137,Dorothy Badders,Panasonic KX-P1150 Dot Matrix Printer,Publish,team-member,
138,Dorothy Badders,Newell 327,Publish,team-member,
139,Delfina Latchford,Xerox 1893,Publish,team-member,
140,Julia West,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Publish,team-member,
141,Julia West,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Publish,team-member,
142,Brad Eason,"DAX Copper Panel Document Frame, 5 x 7 Size",Publish,team-member,
143,Thomas Seio,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Publish,team-member,
144,Thomas Seio,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Publish,team-member,
145,Thomas Seio,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Publish,team-member,
146,Monica Federle,"Memorex Slim 80 Minute CD-R, 10/Pack",Publish,team-member,
147,Monica Federle,Aluminum Document Frame,Publish,team-member,
148,Michelle Lonsdale,"Memorex 80 Minute CD-R Spindle, 100/Pack",Publish,team-member,
149,Frank Price,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Publish,team-member,
150,Frank Price,Accessory36,Publish,team-member,
151,Bryan Davis,Xerox 20,Publish,team-member,
152,Don Jones,Surelock™ Post Binders,Publish,team-member,
153,Carlos Soltero,Colorific® Watercolor Pencils,Publish,team-member,
154,Carlos Soltero,"*Staples* vLetter Openers, 2/Pack",Publish,team-member,
155,Nicole Hansen,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Publish,team-member,
156,Nicole Hansen,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Publish,team-member,
157,Beth Thompson,Eldon Econocleat® Chair Mats for Low Pile Carpets,Publish,team-member,
158,Beth Thompson,Prang Drawing Pencil Set,Publish,team-member,
159,Beth Thompson,T39m,Publish,team-member,
160,Nicole Hansen,Xerox 1982,Publish,team-member,
161,Carlos Soltero,Xerox 1924,Publish,team-member,
162,Carlos Soltero,Turquoise Lead Holder with Pocket Clip,Publish,team-member,
163,Dorothy Badders,Okidata ML395C Color Dot Matrix Printer,Publish,team-member,
164,Muhammed MacIntyre,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Publish,team-member,
165,Muhammed MacIntyre,Microsoft Internet Keyboard,Publish,team-member,
166,Don Miller,Xerox 1982,Publish,team-member,
167,Sylvia Foulston,Global Ergonomic Managers Chair,Publish,team-member,
168,Becky Castell,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Publish,team-member,
169,Dorothy Wardle,Xerox 1971,Publish,team-member,
170,Dorothy Wardle,Eldon Portable Mobile Manager,Publish,team-member,
171,Dorothy Wardle,Accessory6,Publish,team-member,
172,Ann Chong,Durable Pressboard Binders,Publish,team-member,
173,Ann Chong,Fellowes 17-key keypad for PS/2 interface,Publish,team-member,
174,Ann Chong,StarTAC ST7762,Publish,team-member,
175,Clay Rozendal,Accessory21,Publish,team-member,
176,Grant Carroll,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Publish,team-member,
177,Brendan Dodson,Staples 6 Outlet Surge,Publish,team-member,
178,Carlos Daly,Recycled Eldon Regeneration Jumbo File,Publish,team-member,
179,Alan Barnes,Verbatim DVD-R 4.7GB authoring disc,Publish,team-member,
180,Alan Barnes,Canon P1-DHIII Palm Printing Calculator,Publish,team-member,
181,Alan Barnes,GBC Binding covers,Publish,team-member,
182,Nicole Hansen,Newell 323,Publish,team-member,
183,Cari Schnelling,"Global Stack Chair without Arms, Black",Publish,team-member,
184,Chad Cunningham,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Publish,team-member,
185,Bryan Mills,GBC Recycled Regency Composition Covers,Publish,team-member,
186,Bryan Mills,Accessory29,Publish,team-member,
187,Adrian Hane,Newell 323,Publish,team-member,
188,Adrian Hane,SANFORD Major Accent™ Highlighters,Publish,team-member,
189,Rick Reed,Polycom ViaVideo™ Desktop Video Communications Unit,Publish,team-member,
190,Heather Kirkland,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Publish,team-member,
191,Fred Wasserman,Accessory24,Publish,team-member,
192,Becky Castell,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Publish,team-member,
193,Becky Castell,Recycled Steel Personal File for Standard File Folders,Publish,team-member,
194,Beth Thompson,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Publish,team-member,
195,Claudia Miner,Accessory39,Publish,team-member,
196,Jack Lebron,Bell Sonecor JB700 Caller ID,Publish,team-member,
197,Alan Barnes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Publish,team-member,
198,Carlos Soltero,GBC Standard Plastic Binding Systems Combs,Publish,team-member,
199,Clay Rozendal,Xerox 1930,Publish,team-member,
200,Clay Rozendal,Avery 474,Publish,team-member,
201,Julia West,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Publish,team-member,
202,Alan Barnes,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Publish,team-member,
203,Joy Bell,"IBM 80 Minute CD-R Spindle, 50/Pack",Publish,team-member,
204,Joy Bell,"Peel & Seel® Recycled Catalog Envelopes, Brown",Publish,team-member,
205,Joy Bell,Avery 506,Publish,team-member,
206,Jack Lebron,Prang Drawing Pencil Set,Publish,team-member,
207,Anthony Johnson,TDK 4.7GB DVD+RW,Publish,team-member,
208,Anthony Johnson,U.S. Robotics 56K Internet Call Modem,Publish,team-member,
209,Anthony Johnson,Xerox 190,Publish,team-member,
210,Eugene Barchas,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Publish,team-member,
211,Eugene Barchas,CF 888,Publish,team-member,
212,Thomas Seio,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Publish,team-member,
213,Bryan Mills,Dana Halogen Swing-Arm Architect Lamp,Publish,team-member,
214,Bryan Mills,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Publish,team-member,
215,Eugene Barchas,Lexmark Z25 Color Inkjet Printer,Publish,team-member,
216,Sylvia Foulston,Hon Multipurpose Stacking Arm Chairs,Publish,team-member,
217,Sylvia Foulston,Hon Olson Stacker Stools,Publish,team-member,
218,Carl Ludwig,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Publish,team-member,
219,Julia West,12-1/2 Diameter Round Wall Clock,Publish,team-member,
220,Don Jones,Epson DFX5000+ Dot Matrix Printer,Publish,team-member,
221,Mike Pelletier,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
222,Mike Pelletier,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Publish,team-member,
223,Eugene Barchas,GBC Standard Therm-A-Bind Covers,Publish,team-member,
224,Ann Chong,"80 Minute CD-R Spindle, 100/Pack - Staples",Publish,team-member,
225,Ann Chong,Xerox 1892,Publish,team-member,
226,Charles McCrossin,Staples Paper Clips,Publish,team-member,
227,Annie Cyprus,"Metal Folding Chairs, Beige, 4/Carton",Publish,team-member,
228,Annie Cyprus,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Publish,team-member,
229,Carlos Soltero,Computer Printout Paper with Letter-Trim Perforations,Publish,team-member,
230,Doug Bickford,Bush Mission Pointe Library,Publish,team-member,
231,Carlos Daly,Hon Olson Stacker Stools,Publish,team-member,
232,Fred Wasserman,Xerox 1929,Publish,team-member,
233,Fred Wasserman,Home/Office Personal File Carts,Publish,team-member,
234,Sylvia Foulston,Avery 507,Publish,team-member,
235,Michelle Lonsdale,i470,Publish,team-member,
236,Sylvia Foulston,3M Organizer Strips,Publish,team-member,
237,Sylvia Foulston,"Imation 3.5 IBM Diskettes, 10/Box",Publish,team-member,
238,Sylvia Foulston,"GE 4 Foot Flourescent Tube, 40 Watt",Publish,team-member,
239,Sylvia Foulston,300 Series Non-Flip,Publish,team-member,
240,Charlotte Melton,"Executive Impressions 13"" Chairman Wall Clock",Publish,team-member,
241,Barry French,Micro Innovations 104 Keyboard,Publish,team-member,
242,Heather Kirkland,US Robotics 56K V.92 External Faxmodem,Publish,team-member,
243,Heather Kirkland,Fellowes Staxonsteel® Drawer Files,Publish,team-member,
244,Heather Kirkland,Accessory39,Publish,team-member,
245,Henry Goldwyn,Telescoping Adjustable Floor Lamp,Publish,team-member,
246,Frank Price,Canon MP41DH Printing Calculator,Publish,team-member,
247,Jim Radford,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Publish,team-member,
248,Jim Radford,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Publish,team-member,
249,Ralph Knight,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Publish,team-member,
250,Delfina Latchford,Belkin 6 Outlet Metallic Surge Strip,Publish,team-member,
251,Delfina Latchford,Xerox 21,Publish,team-member,
252,Roy Skaria,GBC DocuBind TL200 Manual Binding Machine,Publish,team-member,
253,Roy Skaria,"Sauder Forest Hills Library, Woodland Oak Finish",Publish,team-member,
254,Monica Federle,Xerox 1940,Publish,team-member,
255,Monica Federle,Bagged Rubber Bands,Publish,team-member,
256,Charles McCrossin,Xerox 1897,Publish,team-member,
257,Don Miller,Poly Designer Cover & Back,Publish,team-member,
258,Jeremy Lonsdale,Bionaire Personal Warm Mist Humidifier/Vaporizer,Publish,team-member,
259,Jeremy Lonsdale,"Acme® 8"" Straight Scissors",Publish,team-member,
260,Grant Carroll,Heavy-Duty E-Z-D® Binders,Publish,team-member,
261,Carl Ludwig,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Publish,team-member,
262,Carlos Daly,Deluxe Rollaway Locking File with Drawer,Publish,team-member,
263,Ralph Knight,252,Publish,team-member,
264,Cindy Schnelling,6160,Publish,team-member,
265,Claudia Miner,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Publish,team-member,
266,Roy Skaria,Prismacolor Color Pencil Set,Publish,team-member,
267,Delfina Latchford,Wilson Jones DublLock® D-Ring Binders,Publish,team-member,
268,Edward Hooks,Binder Posts,Publish,team-member,
269,Edward Hooks,Epson LQ-570e Dot Matrix Printer,Publish,team-member,
270,Don Miller,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Publish,team-member,
271,Grant Carroll,Fellowes PB300 Plastic Comb Binding Machine,Publish,team-member,
272,Grant Carroll,Rush Hierlooms Collection Rich Wood Bookcases,Publish,team-member,
273,Brad Eason,Avery 481,Publish,team-member,
274,Charles McCrossin,Sharp AL-1530CS Digital Copier,Publish,team-member,
275,Charles McCrossin,"SAFCO Commercial Wire Shelving, Black",Publish,team-member,
276,Charles McCrossin,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Publish,team-member,
277,Charles McCrossin,Self-Adhesive Address Labels for Typewriters by Universal,Publish,team-member,
278,Bryan Mills,StarTAC Series,Publish,team-member,
279,Monica Federle,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Publish,team-member,
280,Michelle Lonsdale,Dana Halogen Swing-Arm Architect Lamp,Publish,team-member,
281,Michelle Lonsdale,Global Comet™ Stacking Armless Chair,Publish,team-member,
282,Michelle Lonsdale,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Publish,team-member,
283,Michelle Lonsdale,"Fellowes Internet Keyboard, Platinum",Publish,team-member,
284,Beth Thompson,Deluxe Rollaway Locking File with Drawer,Publish,team-member,
285,Cindy Schnelling,Luxo Economy Swing Arm Lamp,Publish,team-member,
286,Cindy Schnelling,"*Staples* vLetter Openers, 2/Pack",Publish,team-member,
287,Nicole Hansen,Staples 6 Outlet Surge,Publish,team-member,
288,Nicole Hansen,Acco Perma® 2700 Stacking Storage Drawers,Publish,team-member,
289,Nicole Hansen,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Publish,team-member,
290,Cari Schnelling,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Publish,team-member,
291,Cari Schnelling,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Publish,team-member,
292,Roy Skaria,Lock-Up Easel 'Spel-Binder',Publish,team-member,
293,Susan Vittorini,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Publish,team-member,
294,Susan Vittorini,"Tenex File Box, Personal Filing Tote with Lid, Black",Publish,team-member,
295,Sylvia Foulston,Fellowes Black Plastic Comb Bindings,Publish,team-member,
296,Sylvia Foulston,Assorted Color Push Pins,Publish,team-member,
297,Chad Cunningham,HP Office Paper (20Lb. and 87 Bright),Publish,team-member,
298,Chad Cunningham,Staples Vinyl Coated Paper Clips,Publish,team-member,
299,Carlos Daly,Canon MP41DH Printing Calculator,Publish,team-member,
300,Carlos Daly,Newell 310,Publish,team-member,
301,Grant Carroll,Kensington 7 Outlet MasterPiece Power Center,Publish,team-member,
302,Julia West,"DAX Metal Frame, Desktop, Stepped-Edge",Publish,team-member,
303,Roy Skaria,Bush Mission Pointe Library,Publish,team-member,
304,Cindy Schnelling,Accessory21,Publish,team-member,
305,Don Jones,8860,Publish,team-member,
306,Beth Thompson,Array® Memo Cubes,Publish,team-member,
307,Beth Thompson,"Fiskars 8"" Scissors, 2/Pack",Publish,team-member,
308,Alan Barnes,12 Colored Short Pencils,Publish,team-member,
309,Alan Barnes,Pizazz® Global Quick File™,Publish,team-member,
310,Carl Ludwig,Imation 5.2GB DVD-RAM,Publish,team-member,
311,Carl Ludwig,Acco Perma® 2700 Stacking Storage Drawers,Publish,team-member,
312,Carl Ludwig,Portable Personal File Box,Publish,team-member,
313,Jamie Kunitz,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Publish,team-member,
314,Heather Kirkland,Ibico Covers for Plastic or Wire Binding Elements,Publish,team-member,
315,Heather Kirkland,Hanging Personal Folder File,Publish,team-member,
316,Heather Kirkland,Tennsco Double-Tier Lockers,Publish,team-member,
317,Doug Bickford,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Publish,team-member,
318,Doug Bickford,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Publish,team-member,
319,Doug Bickford,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Publish,team-member,
320,Doug Bickford,PC Concepts 116 Key Quantum 3000 Keyboard,Publish,team-member,
321,Carlos Daly,Epson Stylus 1520 Color Inkjet Printer,Publish,team-member,
322,Toby Braunhardt,Avery 494,Publish,team-member,
323,Toby Braunhardt,Self-Adhesive Address Labels for Typewriters by Universal,Publish,team-member,
324,Toby Braunhardt,Accessory37,Publish,team-member,
325,Cari Schnelling,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Publish,team-member,
326,Thomas Seio,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Publish,team-member,
327,Thomas Seio,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Publish,team-member,
328,Thomas Seio,"Peel & Seel® Recycled Catalog Envelopes, Brown",Publish,team-member,
329,Brendan Dodson,Cardinal Poly Pocket Divider Pockets for Ring Binders,Publish,team-member,
330,Brendan Dodson,Canon PC1060 Personal Laser Copier,Publish,team-member,
331,Charlotte Melton,Sterling Rubber Bands by Alliance,Publish,team-member,
332,Beth Thompson,Newell 312,Publish,team-member,
333,Beth Thompson,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Publish,team-member,
334,Eugene Barchas,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Publish,team-member,
335,Michelle Lonsdale,"Avery Flip-Chart Easel Binder, Black",Publish,team-member,
336,Michelle Lonsdale,GBC Binding covers,Publish,team-member,
337,Grant Carroll,R280,Publish,team-member,
338,Beth Paige,Accessory9,Publish,team-member,
339,Dorothy Wardle,U.S. Robotics 56K Internet Call Modem,Publish,team-member,
340,Muhammed MacIntyre,Tennsco Industrial Shelving,Publish,team-member,
341,Charlotte Melton,Staples Bulldog Clip,Publish,team-member,
342,Muhammed MacIntyre,"Micro Innovations Micro 3000 Keyboard, Black",Publish,team-member,
343,Claudia Miner,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
344,Claudia Miner,Xerox 1882,Publish,team-member,
345,Claudia Miner,Carina Double Wide Media Storage Towers in Natural & Black,Publish,team-member,
346,Brendan Dodson,Portable Personal File Box,Publish,team-member,
347,Dorothy Wardle,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Publish,team-member,
348,Mike Pelletier,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Publish,team-member,
349,Edward Hooks,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Publish,team-member,
350,Edward Hooks,Hon 94000 Series Round Tables,Publish,team-member,
351,Jamie Kunitz,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Publish,team-member,
352,Jamie Kunitz,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Publish,team-member,
